gtfsid;name;vltid;vltnamn;vltnamn2;;;;;
7416284;Bogen kyrka;84089;Bogens kyrkan;Bogens kyrkan;;;;;
7457511;Bogerud;66111;Bogerud;Bogerud;;;;;
7400802;Bograngen;37014;Bograngen;Bograngen;;;;;
7457802;Bohagen;80451;Bohagen;Bohagen;;;;;
7458254;Bolhyttan;82004;Bolhyttan;Bolhyttan;;;;;
7457975;Bomheden;81016;Bomheden;Bomheden;;;;;
7457803;Bomstad;80452;Bomstad (E18);Bomstad (E18);;;;;
7457976;Bomtorp;81017;Bomtorp;Bomtorp;;;;;
7456932;Bonäs;15004;Bonäs;Bonäs;;;;;
7458804;Borgene;85006;Borgene;Borgene;;;;;
7410147;Borgviksbruk;64002;Borgviksbruk;Borgviksbruk;;;;;
7410150;Bortan;84090;Bortan;Bortan;;;;;
7458551;Bosebyn;84091;Bosebyn;Bosebyn;;;;;
7458552;Bosebyvägen;84092;Bosebyvägen;Bosebyvägen;;;;;
7458553;Bostället;84093;Bostället (Jössefors);Bostället (Jössefors);;;;;
7410152;Botilsäter skolan;85007;Botilsäters kyrka;Botilsäters kyrka;;;;;
7458805;Botilsäters kyrka;85008;Botilsäters skolan;Botilsäters skolan;;;;;
7457323;Botorp;63001;Botorp;Botorp;;;;;
7457804;Botorpsheden;80453;Botorpsheden;Botorpsheden;;;;;
7457805;Botorpsvägen;80454;Botorpsvägen;Botorpsvägen;;;;;
7457410;Boviken;65005;Boviken;Boviken;;;;;
7410155;Brandsbol;84311;Brandsbol (Glava);Brandsbol (Glava);;;;;
7458724;Brandsbol;66006;Brandsbol (Gräsmark);Brandsbol (Gräsmark);;;;;
7421451;Brandsbol (Klässbol);84094;Brandsbol (Klässbol);Brandsbol (Klässbol);;;;;
7401029;Branäs;37015;Branäs;Branäs;;;;;
7466148;Brattfall;83117;Brattfall;Brattfall;;;;;
7422348;Brattfors affären;82008;Brattfors affären;Brattfors affären;;;;;
7458256;Brattfors Geijersvägen;82007;Brattfors Geijersvägen;Brattfors Geijersvägen;;;;;
7424628;Brattfors Tullen;82009;Brattfors Tullen;Brattfors Tullen;;;;;
7410159;Brattfors väg 63;82006;Brattfors rv 63;Brattfors rv 63;;;;;
7457189;Brattforsvägen;60007;Brattforsvägen;Brattforsvägen;;;;;
7457069;Brattmon;37016;Brattmon;Brattmon;;;;;
7410160;Brattsand;81018;Brattsand;Brattsand;;;;;
7458258;Brattvreten;82010;Brattvreten;Brattvreten;;37017;Bredvikskorset;Bredvikskorset;
